IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.78.222,8443,8443,TRUE,SIN,Asia Pacific,Singapore,136,12.57
47.236.193.208,2083,2083,TRUE,SIN,Asia Pacific,Singapore,214,12.57
47.245.52.240,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,200,12.56
8.219.197.111,2083,2083,TRUE,SIN,Asia Pacific,Singapore,153,12.56
8.217.91.121,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,45,12.55
8.219.206.180,2083,2083,TRUE,SIN,Asia Pacific,Singapore,149,12.55
8.219.106.15,2096,2096,TRUE,SIN,Asia Pacific,Singapore,33,12.55
8.219.97.179,443,443,TRUE,SIN,Asia Pacific,Singapore,127,12.55
47.245.54.140,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,217,12.55
47.76.34.188,443,443,TRUE,HKG,Asia Pacific,Hong Kong,73,12.55
47.245.52.240,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,113,12.55
47.245.30.65,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,206,12.55
47.245.8.156,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,147,12.55
47.245.105.224,2087,2087,TRUE,SIN,Asia Pacific,Singapore,113,12.54
8.219.228.186,2087,2087,TRUE,SIN,Asia Pacific,Singapore,85,12.54
8.219.99.8,2083,2083,TRUE,SIN,Asia Pacific,Singapore,63,12.54
47.236.180.51,2087,2087,TRUE,SIN,Asia Pacific,Singapore,46,12.54
8.222.212.219,2096,2096,TRUE,SIN,Asia Pacific,Singapore,132,12.54
47.236.65.232,2087,2087,TRUE,SIN,Asia Pacific,Singapore,77,12.53
47.245.9.228,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,184,12.53
8.219.42.72,2087,2087,TRUE,SIN,Asia Pacific,Singapore,101,12.53
47.236.11.84,443,443,TRUE,SIN,Asia Pacific,Singapore,112,12.52
8.222.252.150,2083,2083,TRUE,SIN,Asia Pacific,Singapore,119,12.52
47.243.183.127,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,97,12.52
8.219.179.34,2083,2083,TRUE,SIN,Asia Pacific,Singapore,74,12.51
47.245.10.123,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,193,12.51
8.222.223.34,443,443,TRUE,SIN,Asia Pacific,Singapore,91,12.51
8.219.145.245,2096,2096,TRUE,SIN,Asia Pacific,Singapore,76,12.51
8.219.201.8,443,443,TRUE,SIN,Asia Pacific,Singapore,178,12.5
8.219.196.24,443,443,TRUE,SIN,Asia Pacific,Singapore,112,12.5
47.245.55.99,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,203,12.5
